Title,Date
"Class: Episode 3","1/31/25"
"Class: Episode 2","1/31/25"
"Class: Episode 1","1/31/25"
"The Witcher: Season 3: Shaerrawedd","1/28/25"
"Venom: The Last Dance","1/28/25"
"Squid Game: Season 2: O ﻿ X","1/26/25"
"Squid Game: Season 2: One More Game","1/26/25"
"Squid Game: Season 2: Six Legs","1/26/25"
"Squid Game: Season 2: 001","1/26/25"
"Squid Game: Season 2: Halloween Party","1/26/25"
"Squid Game: Season 2: Bread and Lottery","1/26/25"
"Bhool Bhulaiyaa 3","12/30/24"
"Delhi 6","12/27/24"
"Squid Game: Season 1: One Lucky Day","12/26/24"
"Squid Game: Season 1: A Fair World","12/26/24"
"Peaky Blinders: Season 4: The Company","12/25/24"
"Peaky Blinders: Season 4: The Duel","12/25/24"
"Peaky Blinders: Season 4: Dangerous","12/25/24"
"Peaky Blinders: Season 4: Blackbird","12/25/24"
"Peaky Blinders: Season 4: Heathens","12/25/24"
"Peaky Blinders: Season 4: The Noose","12/23/24"
"Peaky Blinders: Season 3: Episode 6","12/22/24"
"Peaky Blinders: Season 3: Episode 5","12/22/24"
"Peaky Blinders: Season 3: Episode 4","12/22/24"
"Peaky Blinders: Season 3: Episode 3","12/22/24"
"Peaky Blinders: Season 3: Episode 2","12/22/24"
"Vikings: Season 2: Answers in Blood","12/15/24"
"Vikings: Season 2: Eye for an Eye","12/15/24"
"Peaky Blinders: Season 3: Episode 1","12/14/24"
"Stranger Things: Chapter One: The Vanishing of Will Byers","12/14/24"
"Peaky Blinders: Season 2: Episode 6","12/7/24"
"Peaky Blinders: Season 2: Episode 5","12/7/24"
"Peaky Blinders: Season 2: Episode 4","12/7/24"
"Peaky Blinders: Season 2: Episode 3","12/7/24"
"Peaky Blinders: Season 2: Episode 2","12/7/24"
"Peaky Blinders: Season 2: Episode 1","12/7/24"
"Peaky Blinders: Season 1: Episode 6","12/7/24"
"Peaky Blinders: Season 1: Episode 5","12/7/24"
"Peaky Blinders: Season 1: Episode 4","12/6/24"
"Emily in Paris: Season 3: Coo D’état","11/30/24"
"Money Heist: Part 5: The End of the Road","11/29/24"
"Money Heist: Part 5: A Family Tradition","11/29/24"
"Money Heist: Part 1: Episode 1","11/29/24"
"Peaky Blinders: Season 1: Episode 3","11/27/24"
"Peaky Blinders: Season 1: Episode 2","11/27/24"
"Peaky Blinders: Season 1: Episode 1","11/27/24"
"Vikings: Season 2: Treachery","11/25/24"
"Vikings: Season 2: Invasion","11/25/24"
"Chandramukhi 2 (Hindi)","11/12/24"
"Bhool Bhulaiyaa","11/7/24"
"Venom: Let There Be Carnage","11/3/24"
"Cursed: The Sacrifice","11/2/24"
"Cursed: Poisons","11/2/24"
"Cursed: The Fey Queen","11/2/24"
"Cursed: Bring Us In Good Ale","11/1/24"
"Cursed: Festa and Moreii","11/1/24"
"Cursed: The Joining","11/1/24"
"Cursed: The Red Lake","10/23/24"
"Cursed: Alone","10/23/24"
"Cursed: Cursed","10/23/24"
"Cursed: Nimue","10/23/24"
"Van Helsing: Season 1: Help Me","10/19/24"
"Avatar The Last Airbender: The North","10/19/24"
"Avatar The Last Airbender: Masks","10/19/24"
"Avatar The Last Airbender: Spirited Away","10/19/24"
"Avatar The Last Airbender: Into the Dark","10/19/24"
"Avatar The Last Airbender: Omashu","10/19/24"
"Avatar The Last Airbender: Warriors","10/19/24"
"Vikings: Season 2: Brother's War","10/11/24"
"Vikings: Season 1: All Change","10/11/24"
"Vikings: Season 1: Sacrifice","10/10/24"
"Vikings: Season 1: A King's Ransom","10/10/24"
"Vikings: Season 1: Burial of the Dead","10/10/24"
"Vikings: Season 1: Raid","10/10/24"
"Vikings: Season 1: Trial","10/10/24"
"Vikings: Season 1: Dispossessed","10/10/24"
"Vikings: Season 1: Wrath of the Northmen","10/10/24"
"Vikings: Season 1: Rites of Passage","10/10/24"
"Maharaj","10/9/24"
"Blue Box: Chinatsu Senpai","10/8/24"
"All of Us Are Dead: Season 1: Episode 1","10/7/24"
"Emily in Paris: Season 3: What's It All About...","10/7/24"
"Emily in Paris: Season 3: I Have Two Lovers","10/6/24"
"Emily in Paris: Season 2: French Revolution","10/6/24"
"Emily in Paris: Season 2: Scents & Sensibility","10/6/24"
"Squid Game: Season 1: Stick to the Team","10/6/24"
"Squid Game: Season 1: The Man with the Umbrella","10/6/24"
"Squid Game: Season 1: Hell","10/6/24"
"Emily in Paris: Season 2: Champagne Problems","10/2/24"
"Emily in Paris: Season 2: The Cook, the Thief, Her Ghost and His Lover","10/2/24"
"Kalki 2898 AD (Hindi)","9/29/24"
"Gangubai Kathiawadi","9/29/24"
"Emily in Paris: Season 2: Boiling Point","9/28/24"
"Emily in Paris: Season 2: An Englishman in Paris","9/28/24"
"Emily in Paris: Season 2: Jules and Em","9/28/24"
"Emily in Paris: Season 2: Bon Anniversaire!","9/28/24"
"Emily in Paris: Season 2: Do You Know the Way to St. Tropez?","9/28/24"
"Emily in Paris: Season 2: Voulez-Vous Coucher Avec Moi?","9/28/24"
"Emily in Paris: Season 1: Cancel Couture","9/28/24"
"Emily in Paris: Season 1: An American Auction in Paris","9/28/24"
"Emily in Paris: Season 1: Family Affair","9/26/24"
"Emily in Paris: Season 1: French Ending","9/26/24"
"Emily in Paris: Season 1: Ringarde","9/26/24"
"Emily in Paris: Season 1: Faux Amis","9/26/24"
"Emily in Paris: Season 1: A Kiss Is Just a Kiss","9/26/24"
"Emily in Paris: Season 1: Sexy or Sexist","9/26/24"
"Emily in Paris: Season 1: Masculin Féminin","9/26/24"
"Emily in Paris: Season 1: Emily in Paris","9/26/24"
"Sector 36","9/21/24"
"Resident Evil: The Devil You Know","9/21/24"
"Resident Evil: Welcome to New Raccoon City","9/21/24"
"Maharaja","8/15/24"
"The Umbrella Academy: Season 3: Marigold","8/15/24"
"The Umbrella Academy: Season 3: Kindest Cut","8/15/24"
"ONE PIECE: WORST IN THE EAST","6/25/24"
"The Umbrella Academy: Season 3: Kugelblitz","6/9/24"
"Bhool Bhulaiyaa 2","5/29/24"
"The Umbrella Academy: Season 3: Pocket Full of Lightning","5/23/24"
"The Umbrella Academy: Season 3: World's Biggest Ball of Twine","5/23/24"
"The Umbrella Academy: Season 3: Meet the Family","5/22/24"
"The Umbrella Academy: Season 2: The End of Something","5/22/24"
"The Umbrella Academy: Season 2: 743","5/22/24"
"The Umbrella Academy: Season 2: The Seven Stages","5/22/24"
"The Umbrella Academy: Season 2: Öga for Öga","5/22/24"
"The Umbrella Academy: Season 2: A Light Supper","5/22/24"
"The Umbrella Academy: Season 2: Valhalla","5/22/24"
"The Umbrella Academy: Season 2: The Majestic 12","5/22/24"
"The Umbrella Academy: Season 2: The Swedish Job","5/22/24"
"The Umbrella Academy: Season 2: The Frankel Footage","5/22/24"
"The Umbrella Academy: Season 2: Right Back Where We Started","5/22/24"
"The Umbrella Academy: Season 1: The White Violin","5/21/24"
"The Umbrella Academy: Season 1: Changes","5/21/24"
"The Umbrella Academy: Season 1: I Heard a Rumor","5/21/24"
"The Umbrella Academy: Season 1: The Day That Was","5/21/24"
"The Umbrella Academy: Season 1: The Day That Wasn't","5/21/24"
"The Umbrella Academy: Season 1: Number Five","5/21/24"
"The Umbrella Academy: Season 1: Man on the Moon","5/20/24"
"The Umbrella Academy: Season 1: Extra Ordinary","5/20/24"
"The Umbrella Academy: Season 1: Run Boy Run","5/20/24"
"The Umbrella Academy: Season 1: We Only See Each Other at Weddings and Funerals","5/20/24"
"Never Have I Ever: Season 4: ...gone to prom","5/20/24"
"Never Have I Ever: Season 4: ...set my mom up","5/20/24"
"Never Have I Ever: Season 4: ...had an identity crisis","5/20/24"
"Never Have I Ever: Season 4: ...had my dream stolen","5/20/24"
"Never Have I Ever: Season 4: ...been to New Jersey","5/20/24"
"Never Have I Ever: Season 4: ...wrecked my future","5/20/24"
"Never Have I Ever: Season 4: ...liked a bad boy","5/20/24"
"Never Have I Ever: Season 4: ...gotten sweet revenge","5/19/24"
"Never Have I Ever: Season 4: ...lost my virginity","5/19/24"
"Never Have I Ever: Season 3: ...lived the dream","5/19/24"
"Never Have I Ever: Season 3: …had an Indian boyfriend","5/19/24"
"Never Have I Ever: Season 3: ...hooked up with my boyfriend","5/19/24"
"Never Have I Ever: Season 3: ...cheated","5/19/24"
"Never Have I Ever: Season 3: ...had a breakdown","5/19/24"
"Never Have I Ever: Season 3: ...been ghosted","5/19/24"
"Never Have I Ever: Season 3: ...made someone jealous","5/19/24"
"Never Have I Ever: Season 3: …had a valentine","5/19/24"
"Never Have I Ever: Season 3: ...had my own troll","5/19/24"
"Never Have I Ever: Season 3: ...been slut-shamed","5/19/24"
"Never Have I Ever: Season 2: ... been a perfect girl","5/18/24"
"Never Have I Ever: Season 2: ... stalked my own mother","5/18/24"
"Never Have I Ever: Season 2: ... been Daisy Buchanan","5/18/24"
"Never Have I Ever: Season 2: ... begged for forgiveness","5/18/24"
"Never Have I Ever: Season 2: ... betrayed a friend","5/18/24"
"Never Have I Ever: Season 2: ... ruined someone's life","5/18/24"
"Never Have I Ever: Season 2: ... had an Indian frenemy","5/18/24"
"Never Have I Ever: Season 2: ... opened a textbook","5/18/24"
"Never Have I Ever: Season 2: ... thrown a rager","5/18/24"
"Never Have I Ever: Season 2: ... been a playa","5/18/24"
"Never Have I Ever: Season 1: ... said I'm sorry","5/18/24"
"Never Have I Ever: Season 1: ... had to be on my best behavior","5/18/24"
"Never Have I Ever: Season 1: ... pissed off everyone I know","5/18/24"
"Never Have I Ever: Season 1: ... been a big, fat liar","5/18/24"
"Never Have I Ever: Season 1: ... been the loneliest boy in the world","5/18/24"
"Never Have I Ever: Season 1: ... started a nuclear war","5/18/24"
"Never Have I Ever: Season 1: ... felt super Indian","5/18/24"
"Never Have I Ever: Season 1: ... gotten drunk with the popular kids","5/18/24"
"Never Have I Ever: Season 1: ... had sex with Paxton Hall-Yoshida","5/18/24"
"Never Have I Ever: Season 1: Pilot","5/18/24"
"Alice in Borderland: Season 1: Episode 1","5/17/24"
"Sex Education: Season 4: Episode 7","5/17/24"
"Sex Education: Season 4: Episode 6","5/17/24"
"Sex Education: Season 4: Episode 5","5/16/24"
"Sex Education: Season 4: Episode 4","5/16/24"
"Sex Education: Season 4: Episode 3","5/16/24"
"Sex Education: Season 4: Episode 2","5/16/24"
"Sex Education: Season 4: Episode 1","5/16/24"
"Sex Education: Season 3: Episode 8","5/16/24"
"Sex Education: Season 3: Episode 7","5/15/24"
"Sex Education: Season 3: Episode 6","5/15/24"
"Sex Education: Season 3: Episode 5","5/15/24"
"Sex Education: Season 3: Episode 4","5/15/24"
"Sex Education: Season 3: Episode 3","5/15/24"
"Sex Education: Season 3: Episode 2","5/15/24"
"Sex Education: Season 3: Episode 1","5/15/24"
"Sex Education: Season 2: Episode 8","5/15/24"
"Sex Education: Season 2: Episode 7","5/15/24"
"Sex Education: Season 2: Episode 6","5/15/24"
"Sex Education: Season 2: Episode 5","5/14/24"
"Sex Education: Season 2: Episode 4","5/14/24"
"Sex Education: Season 2: Episode 3","5/14/24"
"Sex Education: Season 2: Episode 2","5/14/24"
"Sex Education: Season 2: Episode 1","5/14/24"
"Sex Education: Season 1: Episode 8","5/14/24"
"Sex Education: Season 1: Episode 7","5/14/24"
"Sex Education: Season 1: Episode 6","5/14/24"
"Sex Education: Season 1: Episode 5","5/14/24"
"Sex Education: Season 1: Episode 4","5/13/24"
"Sex Education: Season 1: Episode 3","5/13/24"
"Sex Education: Season 1: Episode 2","5/13/24"
"Heeramandi: The Diamond Bazaar: Season 1: Heeramandi - The Swan Song","5/9/24"
"Heeramandi: The Diamond Bazaar: Season 1: Bibbojaan - Long Live the Revolution","5/9/24"
"Heeramandi: The Diamond Bazaar: Season 1: Tajdar & Alamzeb - Nation v/s Love","5/9/24"
"Heeramandi: The Diamond Bazaar: Season 1: Tajdar - The Lover’s Dilemma","5/9/24"
"Heeramandi: The Diamond Bazaar: Season 1: Alamzeb - The Innocent Pawn","5/9/24"
"Heeramandi: The Diamond Bazaar: Season 1: Fareedanjaan - The Challenger Returns","5/9/24"
"Heeramandi: The Diamond Bazaar: Season 1: Waheedajaan - Scarred for Life","5/9/24"
"Heeramandi: The Diamond Bazaar: Season 1: Mallikajaan - The Queen of Heeramandi","5/9/24"
"Lucy","4/26/24"
"Damsel","4/26/24"
"Vikings: Valhalla: Season 2: The Web of Fate","4/26/24"
"Vikings: Valhalla: Season 1: The End of the Beginning","4/26/24"
"Vikings: Valhalla: Season 1: Choices","4/26/24"
"3 Body Problem: Season 1: Countdown","4/26/24"
"Vikings: Valhalla: Season 1: The Last Daughter of Uppsala","4/25/24"
"Vikings: Valhalla: Season 1: Miracle","4/24/24"
"Vikings: Valhalla: Season 1: The Bridge","4/24/24"
"Vikings: Valhalla: Season 1: The Marshes","4/24/24"
"Vikings: Valhalla: Season 1: Viking","4/24/24"
"Vikings: Valhalla: Season 1: The Greenlanders","4/24/24"
"The Witcher: Blood Origin: Limited Series: Of Mages, Malice, and Monstrous Mayhem","4/2/24"
"The Witcher: Blood Origin: Limited Series: Of Warriors, Wakes, and Wondrous Worlds","4/2/24"
"The Witcher: Blood Origin: Limited Series: Of Dreams, Defiance, and Desperate Deeds","3/31/24"
"The Witcher: Blood Origin: Limited Series: Of Ballads, Brawlers, and Bloodied Blades","3/31/24"
"Sex/Life: Season 1: The Wives Are in Connecticut","3/12/24"
"Love, Death & Robots: Volume 3: Three Robots: Exit Strategies","3/10/24"
"Shadow and Bone: Season 2: No Funerals","3/10/24"
"Shadow and Bone: Season 2: Meet You in the Meadow","3/9/24"
"Shadow and Bone: Season 2: Ni Weh Sesh (I Have No Heart)","3/9/24"
"Shadow and Bone: Season 2: Yuyeh Sesh (Despise Your Heart)","3/9/24"
"Shadow and Bone: Season 2: Every Monstrous Thing","3/9/24"
"Shadow and Bone: Season 2: Like Calls to Like","3/5/24"
"Shadow and Bone: Season 2: Rusalye","3/5/24"
"Shadow and Bone: Season 2: No Shelter But Me","3/5/24"
"Shadow and Bone: Season 1: No Mourners","3/4/24"
"Shadow and Bone: Season 1: The Unsea","3/4/24"
"Shadow and Bone: Season 1: The Heart Is an Arrow","3/4/24"
"Shadow and Bone: Season 1: Show Me Who You Are","3/4/24"
"Shadow and Bone: Season 1: Otkazat’sya","3/4/24"
"Shadow and Bone: Season 1: The Making at the Heart of the World","3/4/24"
"Shadow and Bone: Season 1: We’re All Someone’s Monster","3/4/24"
"Shadow and Bone: Season 1: A Searing Burst of Light","3/3/24"
"Dune","3/3/24"
"Fate: The Winx Saga: Season 2: All the Wild Witches","2/16/24"
"Fate: The Winx Saga: Season 2: Poor Unfortunate Souls","2/16/24"
"Fate: The Winx Saga: Season 2: Are You a Good Witch or a Bad Witch?","2/16/24"
"Fate: The Winx Saga: Season 2: An Hour Before the Devil Fell","2/16/24"
"Fate: The Winx Saga: Season 2: Your Newfound Popularity","2/16/24"
"Fate: The Winx Saga: Season 2: Taken By The Wind","2/16/24"
"Fate: The Winx Saga: Season 2: Low-Flying Panic Attack","2/15/24"
"Fate: The Winx Saga: Season 1: A Fanatic Heart","2/15/24"
"Fate: The Winx Saga: Season 1: Wither Into the Truth","2/15/24"
"Fate: The Winx Saga: Season 1: Some Wrecked Angel","2/15/24"
"Fate: The Winx Saga: Season 1: Heavy Mortal Hopes","2/15/24"
"Fate: The Winx Saga: Season 1: No Strangers Here","2/15/24"
"Fate: The Winx Saga: Season 1: To the Waters and the Wild","2/15/24"
"Class: Episode 8","2/13/24"
"Class: Episode 7","2/12/24"
"Class: Episode 6","2/12/24"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Trainer Sakonji Urokodaki","1/29/24"
